"","CODE_REGIS","Presi","VOTOS"
"304",1250,"Fajardo",1282
"305",1250,"Fico",3411
"306",1250,"Petro",1055
"307",1253,"Fajardo",332
"308",1253,"Fico",1222
"309",1253,"Petro",304
"310",1256,"Fajardo",1051
"311",1256,"Fico",8617
"312",1256,"Petro",1124
"313",1259,"Fajardo",405
"314",1259,"Fico",749
"315",1259,"Petro",1582
"316",1262,"Fajardo",792
"317",1262,"Fico",2702
"318",1262,"Petro",636
"319",1265,"Fajardo",541
"320",1265,"Fico",2381
"321",1265,"Petro",577
"322",1268,"Fajardo",739
"323",1268,"Fico",1918
"324",1268,"Petro",740
"325",1270,"Fajardo",313
"326",1270,"Fico",469
"327",1270,"Petro",1028
"328",1271,"Fajardo",175
"329",1271,"Fico",758
"330",1271,"Petro",260
"331",1274,"Fajardo",325
"332",1274,"Fico",1102
"333",1274,"Petro",254
"334",1277,"Fajardo",80
"335",1277,"Fico",190
"336",1277,"Petro",138
"337",1280,"Fajardo",2017
"338",1280,"Fico",4063
"339",1280,"Petro",11061
"340",1282,"Fajardo",113
"341",1282,"Fico",349
"342",1282,"Petro",103
"343",1283,"Fajardo",475
"344",1283,"Fico",1390
"345",1283,"Petro",661
"346",1286,"Fajardo",153
"347",1286,"Fico",584
"348",1286,"Petro",363
"349",1289,"Fajardo",176
"350",1289,"Fico",862
"351",1289,"Petro",253
"352",1290,"Fajardo",226
"353",1290,"Fico",878
"354",1290,"Petro",228
"355",1291,"Fajardo",241
"356",1291,"Fico",69
"357",1291,"Petro",851
"358",1292,"Fajardo",608
"359",1292,"Fico",1801
"360",1292,"Petro",302
"361",1293,"Fajardo",115
"362",1293,"Fico",555
"363",1293,"Petro",152
"364",1295,"Fajardo",1706
"365",1295,"Fico",3062
"366",1295,"Petro",1272
"367",1298,"Fajardo",384
"368",1298,"Fico",1283
"369",1298,"Petro",478
"370",1300,"Fajardo",295
"371",1300,"Fico",592
"372",1300,"Petro",1773
"373",1301,"Fajardo",447
"374",1301,"Fico",520
"375",1301,"Petro",1356
"376",3001,"Fajardo",22332
"377",3001,"Fico",230973
"378",3001,"Petro",180952
"379",3004,"Fajardo",834
"380",3004,"Fico",15541
"381",3004,"Petro",9190
